C,cd,top_distance,bottom_distance,sidewall_angle,left_angle,right_angle,top_error,bottom_error,angle_error,total_error,weights
0.2629848818401873,15.754419078264569,242.14905763370516,180.29806504487215,89.99999999999969,,89.99999999999969,193.08769987134488,64.80627517812809,0.8616793121356211,133.45644903706068,"[0.5850000000000001, 0.315, 0.1]"
0.1579686686504013,9.123617842927564,300.4265986851609,189.37837499690363,89.99999999999979,,89.99999999999979,263.62454452331264,73.10637568272725,0.8616793121357327,177.33503481741056,"[0.5850000000000001, 0.315, 0.1]"
0.31057573272554484,5.475313046714451,310.0341626219805,256.312468766121,89.9999999999998,,89.9999999999998,275.2531622149364,134.28927675148174,0.8616793121357484,203.41039000366817,"[0.5850000000000001, 0.315, 0.1]"
0.1679964169858135,16.94736594653562,227.40278601623277,147.0644832902099,89.99999999999969,,89.99999999999969,175.23939241858238,34.42822969854652,0.8616793121356211,113.44610485112642,"[0.5850000000000001, 0.315, 0.1]"
0.4391459296361033,12.931102771187446,263.30120164238724,225.67037217075844,89.9999999999992,,89.9999999999992,218.68942343547232,106.280047688079,0.8616793121350796,161.4976956627097,"[0.5850000000000001, 0.315, 0.1]"
0.0995532364317466,11.88777273482492,267.1075855270264,134.9549483471679,89.9999999999998,,89.9999999999998,223.2965208509155,23.35918496084818,0.8616793121357484,138.0727758916663,"[0.5850000000000001, 0.315, 0.1]"
0.4181861203560685,9.957682854303432,283.6616003557258,243.58511728136256,89.99999999999945,,89.99999999999945,243.33284961961485,122.65550025718697,0.8616793121353503,181.07236753970213,"[0.5850000000000001, 0.315, 0.1]"
0.05981294312332022,15.187405561111728,237.18365562812397,95.89355714314176,89.99999999999973,,89.99999999999973,187.07777248623088,12.345925828938064,0.8616793121356688,113.41563147177413,"[0.5850000000000001, 0.315, 0.1]"
0.05375114427520436,24.92016497193645,169.9635836521866,62.67964134183905,89.99999999999962,,89.99999999999962,105.71723995665285,42.70599511714895,0.8616793121355415,75.3831417677574,"[0.5850000000000001, 0.315, 0.1]"
0.012410930249688118,27.62208915382007,154.67808683131062,50.63787616236112,89.99999999999946,,89.99999999999946,87.21627551598961,53.713093087421285,0.8616793121353663,68.02731343060516,"[0.5850000000000001, 0.315, 0.1]"
0.48098289470971767,33.16211401339419,124.33434198777316,87.30593224251966,89.9999999999985,,89.9999999999985,50.489399646300114,20.195674366983862,0.8616793121342833,35.98410414989892,"[0.5850000000000001, 0.315, 0.1]"
0.2580605685731919,28.45002818590155,147.8112378841926,84.08939611661893,89.99999999999942,,89.99999999999942,78.90491150350107,23.135835359580508,0.8616793121353186,53.53332929902953,"[0.5850000000000001, 0.315, 0.1]"
0.49377565736546725,23.69088707998836,185.85932847170503,153.95682377983604,89.999999999999,,89.999999999999,124.95682458448924,40.72835811685195,0.8616793121348566,86.01534311994806,"[0.5850000000000001, 0.315, 0.1]"
0.46591835242531354,32.19242704541308,127.80525821980993,89.05065596069619,89.99999999999893,,89.99999999999893,54.69046020311053,18.600862924409338,0.861679312134777,37.939358971222084,"[0.5850000000000001, 0.315, 0.1]"
0.45215232434919406,35.98955109225659,92.6401717323786,49.05836805193172,89.99999999999777,,89.99999999999777,12.128021946718228,55.15688477885583,0.861679312133471,36.17327244006026,"[0.315, 0.5850000000000001, 0.1]"
0.3872454153642769,22.239703075852905,194.63362295243076,151.2400324682758,89.99999999999957,,89.99999999999957,135.57688568437513,38.24500225619361,0.8616793121354938,91.445821767274,"[0.5850000000000001, 0.315, 0.1]"
0.4714524133231879,28.816364030320145,150.435844446905,114.36341153860941,89.99999999999933,,89.99999999999933,82.08163210712297,4.536939249185929,0.861679312135223,49.533058577374035,"[0.5850000000000001, 0.315, 0.1]"
0.2930377293128393,7.099748781983408,308.9843462410926,247.34628470718957,89.9999999999998,,89.9999999999998,273.9825057384321,126.09349607604163,0.8616793121357484,200.0853850521495,"[0.5850000000000001, 0.315, 0.1]"
0.22725458486029854,4.965758251649859,341.015429853583,248.47337723627717,89.99999999999984,,89.99999999999984,312.7516701205313,127.12374518855316,0.8616793121357963,223.08987468611866,"[0.5850000000000001, 0.315, 0.1]"
0.3729442871392503,37.704934041427734,86.20959941935926,41.311465041471045,89.9999999999989,,89.9999999999989,4.3447100210109655,62.238148956607816,0.8616793121347452,37.86406872744751,"[0.315, 0.5850000000000001, 0.1]"
0.009863673151270236,34.34209339991082,102.85430245727456,33.87646258193399,89.99999999999892,,89.99999999999892,24.49080423296363,69.03431208232725,0.861679312134761,48.18584383275846,"[0.315, 0.5850000000000001, 0.1]"
0.3516409365906592,24.242102290146907,178.04810186051014,126.37182499058802,89.99999999999956,,89.99999999999956,115.5024229732633,15.513551179696542,0.8616793121354778,72.54185399217698,"[0.5850000000000001, 0.315, 0.1]"
0.45801848766678155,14.580548666612255,252.37228816050984,215.93411725275874,89.99999999999943,,89.99999999999943,205.46149620008453,97.38036311952352,0.8616793121353343,150.9559575909129,"[0.5850000000000001, 0.315, 0.1]"
0.0030766168811648398,27.90496546193565,141.54584448654248,45.3558850068576,89.99999999999942,,89.99999999999942,71.32152564335811,58.541238567771856,0.8616793121353186,60.24975058142616,"[0.5850000000000001, 0.315, 0.1]"
0.2522919807008706,34.16394192140022,117.48825444077872,60.326847059430115,89.99999999999922,,89.99999999999922,42.20316441633831,44.85662974457942,0.8616793121350954,39.26307530362649,"[0.45, 0.45, 0.1]"
0.0672499320343268,7.746244591054069,284.68002773893534,129.72931987931003,89.99999999999983,,89.99999999999983,244.56551408730977,18.58255930467095,0.8616793121357803,149.0104998532612,"[0.5850000000000001, 0.315, 0.1]"
